X,Y,code,plant_name,capacity_mw,fuel_src_primary,primary_output,fuel_src_secondary,secondary_output
-122.40248,43.28061,6421,Lemolo 2,38,Hydro,38,,
-111.63381,45.48787,6422,Madison,8,Hydro,8,,
-120.0133,47.8347,6424,Chelan,62.1,Hydro,62.1,,
-121.78186,47.4193,6430,Cedar Falls,30,Hydro,30,,
-121.20861,48.69806,6431,Gorge,176,Hydro,176,,
-121.13174,48.71385,6432,Diablo,168.4,Hydro,168.4,,
-117.34785,48.98711,6433,Boundary,1039.8,Hydro,1039.8,,
-83.67602,35.27127,6438,Queens Creek,1.4,Hydro,1.4,,
-87.62537,34.79782,6440,Wilson Dam,667.5,Hydro,667.5,,
-117.9093,34.1548,6449,Azusa,2,Hydro,2,,
-73.03402,43.66277,6450,Proctor,6.5,Hydro,6.5,,
-73.1762,44.0525,6451,Beldens,4.4,Hydro,4.4,,
-73.3073,43.6262,6456,Carver Falls,1.9,Hydro,1.9,,
-114.0708,48.0592,6459,Big Fork,4.6,Hydro,4.6,,
-91.3327,30.757,6462,River Bend,975,Nuclear,975,,
-93.5828,42.0272,6463,Ames GT,37.5,Petroleum,37.5,,
-101.83566,47.37054,6469,Antelope Valley,900,Coal,900,,
-159.58504,21.89958,6474,Port Allen,90.4,Petroleum,90.4,,
-73.16931,44.49,6475,Gorge 18,3,Hydro,3,,
-155.069,19.7239,6478,Shipman,15,Petroleum,15,,
-118.45468,34.59018,6479,San Francisquito 1,76,Hydro,76,,
-118.52511,34.53434,6480,San Francisquito 2,46.5,Hydro,46.5,,
-112.58018,39.50973,6481,Intermountain Power Project,1800,Coal,1800,,
-121.2564,44.2778,6482,Cline Falls,1.1,Hydro,1.1,,
-72.0592,44.2603,6483,Mcindoes,13.2,Hydro,13.2,,
-121.31333,44.06233,6484,Bend,1,Hydro,1,,
-73.6122,44.6967,6486,Mill C,6,Hydro,6,,
-156.49298,20.80117,6504,Maalaea,197.9,Petroleum,197.9,,
-122.06987,45.12201,6505,Oak Grove,44,Hydro,44,,
-116.1752,48.7339,6506,Moyie Springs,4.3,Hydro,4.3,,
-120.5342,46.4492,6507,Drop 2,2.1,Hydro,2.1,,
-120.56,46.42313,6508,Drop 3,1,Hydro,1,,
-119.7478,39.1522,6510,Brunswick,6,Petroleum,6,,
-119.5933,39.2851,6513,Fleish,2.5,Hydro,2.5,,
-117.6869,38.7714,6514,Gabbs,5.4,Petroleum,5.4,,
-110.93134,31.36347,6515,Valencia,60.3,Natural Gas,60.3,,
-103.7136,38.0492,6516,Rocky Ford,10,Petroleum,10,,
-82.8872,34.7981,6517,Keowee,152,Hydro,152,,
-120.02722,39.24583,6518,Kings Beach,12,Petroleum,12,,
-73.2575,44.1664,6519,Vergennes 9,6.4,Petroleum,4,Hydro,2.4
-72.76769,44.38126,6520,Waterbury 22,5,Hydro,5,,
-119.0667,39.4625,6521,Lahontan,1.8,Hydro,1.8,,
-75.0314,41.0006,6522,Yards Creek,420,Pumped Storage,420,,
-73.4617,44.5236,6526,Rainbow Falls,2.6,Hydro,2.6,,
-73.92078,43.31891,6527,E J West,20.6,Hydro,20.6,,
-72.92732,42.87084,6529,Searsburg,5,Hydro,5,,
-119.585,39.3125,6531,Verdi,2.1,Hydro,2.1,,
-119.5604,39.3022,6532,Washoe,1.8,Hydro,1.8,,
-111.80061,40.58498,6537,Little Cottonwood,4.8,Hydro,4.8,,
-77.82694,39.49306,6543,FirstEnergy Dam 4,1.9,Hydro,1.9,,
-77.92306,39.605,6544,FirstEnergy Dam 5,1,Hydro,1,,
-77.78444,39.27306,6546,FirstEnergy Millville,2.4,Hydro,2.4,,
-122.6712,44.4146,6552,Foster,20,Hydro,20,,
-92.4711,42.7317,6554,Waverly Municipal Electric North Plant,17.9,Natural Gas,10.9,Petroleum,7
-154.21944,63.2369,6555,McGrath,2.2,Petroleum,2.2,,
-92.4613,31.3207,6558,D G Hunter,130,Natural Gas,130,,
-149.71674,61.22971,6559,George M Sullivan Generation Plant 2,248.1,Natural Gas,248.1,,
-81.3706,38.1944,6560,London,6.9,Hydro,6.9,,
-81.5695,38.2526,6561,Marmet,16.8,Hydro,16.8,,
-81.91392,38.5274,6562,Winfield,18.7,Hydro,18.7,,
-93.02183,40.45934,6563,Unionville,44,Petroleum,44,,
-75.1919,38.3361,6565,Berlin,9,Petroleum,9,,
-161.78778,60.7897,6566,Bethel,12.6,Petroleum,12.6,,
-71.5711,41.17556,6567,Block Island,7.6,Petroleum,7.6,,
-101.625,37.5757,6579,Johnson,5.6,Natural Gas,1.1,Petroleum,4.5
-131.47027,55.37975,6580,Beaver Falls,5.4,Hydro,5.4,,
-131.51776,55.3814,6581,Silvis,2.1,Hydro,2.1,,
-81.7342,24.56333,6584,Stock Island,114.5,Petroleum,114.5,,
-70.8547,42.5139,6586,Wilkins Station,5,Petroleum,5,,
